from_kode,3501,3502,3503,3504,3505,3506,3507,3508,3509,3510,3511,3512,3513,3514,3515,3516,3517,3518,3519,3520,3521,3522,3523,3524,3525,3526,3527,3528,3529,3571,3572,3573,3574,3575,3576,3577,3578,3579
3518,156.94,80.54,94.29,61.92,74.67,36.31,166.15,213.81,264.77,370.69,264.28,267.73,182.69,131.52,117.02,73.29,40.57,0.0,45.88,71.31,61.71,67.28,120.26,110.82,113.81,159.42,202.42,228.7,281.51,32.77,75.99,157.78,168.18,131.97,72.59,51.8,115.28,107.33
3519,119.21,42.81,92.79,124.05,128.07,89.7,216.21,263.87,314.83,420.75,314.34,317.78,232.75,181.58,161.57,117.84,90.63,45.91,0.0,27.6,22.64,92.35,128.77,155.38,158.37,203.98,246.98,273.26,326.07,86.17,129.39,207.84,218.24,182.03,117.14,14.07,159.84,158.97
3520,99.88,51.03,101.01,132.26,166.57,115.16,235.15,289.33,340.29,446.21,339.8,343.24,258.21,207.04,187.03,143.31,116.09,71.35,27.61,0.0,31.61,103.83,140.25,169.04,183.83,229.44,272.44,298.72,351.53,111.63,166.88,233.3,243.7,207.49,142.6,21.24,185.3,184.43
3521,139.67,63.27,113.25,139.97,152.72,114.36,240.87,288.53,339.48,445.41,338.99,342.44,257.41,206.24,186.23,142.5,115.28,61.61,22.66,31.61,0.0,72.05,108.47,137.25,164.66,228.63,271.64,297.92,350.72,110.82,154.04,232.5,242.89,206.69,141.8,33.48,184.49,183.63
3522,190.64,114.24,161.05,128.68,141.43,103.06,206.78,252.7,303.66,409.58,306.69,310.14,221.58,170.79,130.43,99.73,87.96,69.25,92.37,103.81,72.06,0.0,36.48,66.7,94.11,153.04,196.04,222.32,275.13,99.53,142.75,198.41,207.45,171.24,100.78,105.69,111.98,165.61
3523,227.09,150.69,187.27,154.9,167.91,129.29,193.71,239.63,290.59,396.51,293.62,297.07,208.51,157.72,117.36,104.11,81.5,105.7,128.82,140.27,108.52,36.72,0.0,53.63,81.04,139.97,182.97,209.25,262.06,124.76,169.23,185.34,194.38,158.17,103.18,142.14,98.91,159.15
3524,277.93,179.41,176.82,144.45,157.45,118.84,141.58,187.5,238.45,344.38,241.49,244.94,156.38,105.59,65.23,50.77,74.68,109.13,157.54,168.99,137.24,66.7,53.61,0.0,28.91,87.84,130.84,157.12,209.93,114.3,158.77,133.21,142.25,106.04,49.84,170.86,46.78,141.61
3525,282.89,195.76,181.77,149.4,162.41,123.79,116.59,162.51,213.47,319.39,216.5,219.95,131.39,80.6,40.24,53.76,79.64,114.08,161.1,186.53,165.33,94.79,81.7,29.53,0.0,61.6,104.61,130.89,183.69,119.26,163.73,108.22,117.26,81.05,52.43,167.02,21.31,116.62
3526,327.56,240.43,226.44,194.07,207.07,168.46,142.07,188.37,239.33,345.25,238.84,242.28,157.25,106.08,67.47,98.42,124.3,158.75,205.76,231.2,223.0,152.46,139.37,87.21,64.35,0.0,59.35,85.63,138.44,163.92,210.92,133.7,142.74,106.53,97.1,211.69,44.62,142.1
3527,370.56,283.43,269.44,237.07,250.08,211.46,185.07,231.37,282.33,388.25,281.84,285.29,200.25,149.08,110.47,141.43,167.31,201.75,248.77,274.2,266.01,195.46,182.37,130.21,107.35,59.35,0.0,35.62,106.25,206.92,253.92,176.7,185.74,149.53,140.1,254.69,87.63,185.11
3528,397.65,310.52,296.54,264.17,277.17,238.56,212.17,258.47,309.43,415.35,308.93,312.38,227.35,176.18,137.57,168.52,194.4,228.85,275.86,301.3,293.1,222.56,209.47,157.3,134.44,86.45,35.59,0.0,54.69,234.02,281.02,203.8,212.83,176.63,167.2,281.78,114.72,212.2
3529,450.14,363.01,349.02,316.65,329.66,291.04,264.65,310.95,361.91,467.83,361.42,364.87,279.83,228.66,190.05,221.01,246.89,281.33,328.35,353.78,345.59,275.04,261.95,209.79,186.93,138.93,106.26,55.07,0.0,286.5,333.5,256.28,265.32,229.11,219.68,334.27,167.2,264.69
3571,165.17,113.66,64.05,31.68,43.12,6.07,113.73,218.58,269.54,375.46,269.04,272.49,187.46,136.29,120.64,76.68,45.33,31.96,76.98,102.42,92.81,98.77,124.17,114.45,117.44,163.04,206.05,232.33,285.13,0.0,44.44,102.55,172.95,136.74,77.13,82.9,118.9,82.93
3572,167.62,116.12,66.5,35.9,1.0,40.98,76.51,169.87,234.12,340.04,268.37,268.45,183.21,132.75,146.99,120.38,89.03,75.36,120.38,166.74,136.21,142.17,167.87,158.15,161.14,206.74,249.75,276.03,328.83,44.29,0.0,81.48,168.91,132.52,120.83,146.98,162.6,98.36
3573,241.06,189.56,139.94,109.34,80.17,120.14,10.5,120.08,184.33,290.25,185.42,188.87,103.62,53.16,67.41,87.94,114.16,153.61,200.63,226.06,216.46,197.22,184.13,131.96,107.62,134.27,177.27,203.55,256.36,104.02,79.35,0.0,89.32,52.93,87.8,206.55,90.12,21.99
3574,336.6,249.48,235.49,203.12,167.91,177.51,98.24,46.57,97.53,203.45,92.75,96.2,15.45,38.46,77.07,102.13,128.34,167.8,214.81,240.25,230.64,208.11,195.02,142.86,118.51,143.93,186.93,213.21,266.01,172.97,167.09,89.87,0.0,39.42,101.99,220.73,99.78,98.27
3575,299.06,211.93,197.94,165.57,131.46,139.96,61.79,83.58,134.54,240.47,134.05,137.5,52.46,1.25,39.52,64.58,90.8,130.25,177.27,202.7,193.1,170.57,157.48,105.32,80.97,106.38,149.39,175.67,228.47,135.43,130.64,53.42,37.95,0.0,64.44,183.19,62.24,61.82
3576,239.91,152.78,138.79,106.42,119.43,80.81,98.97,146.63,197.59,303.51,197.09,200.54,115.51,64.34,48.44,1.26,31.65,71.1,118.12,143.55,133.95,100.78,116.51,49.78,51.09,93.94,136.94,163.22,216.03,76.27,120.75,90.6,101.0,64.79,0.0,124.04,49.8,99.0
3577,107.86,31.46,81.44,112.7,147.0,94.83,215.59,269.0,319.96,425.88,319.47,322.92,237.88,186.72,166.71,122.98,95.76,51.02,13.21,22.87,40.25,84.68,121.1,160.51,163.5,209.11,252.11,278.39,331.2,91.3,147.31,212.97,223.37,187.16,122.28,0.0,164.97,164.1
3578,283.65,196.52,182.53,150.16,163.17,124.55,98.16,144.46,195.42,301.34,194.93,198.38,113.34,62.18,23.57,54.52,80.4,114.84,161.86,187.29,180.69,110.15,97.06,44.89,20.55,44.56,87.57,113.85,166.65,120.02,167.01,89.79,98.83,62.63,53.19,167.78,0.0,98.2
3579,257.14,205.63,156.02,125.41,96.24,87.69,28.82,138.94,194.62,300.55,194.34,197.79,112.55,62.08,76.33,96.86,77.06,107.91,154.93,180.36,170.76,164.49,158.07,140.88,116.54,143.19,186.19,212.47,265.28,83.48,95.42,19.71,98.24,61.85,96.72,160.85,99.05,0.0
